rang,id,author,author_short,year,title,journal,type,langue,doi,url,number_citations,citations_source,citations_google_scholar,citations_google_scholar_date,citations_score,citations_score_source,citations_imputees,citations_utilisees,recurrence,cite_par,bibliographie_depouillee,round,direction,found_via,statut,c1,c2,c3,c4,pertinence_thematique,cit_norm,year_norm,pert_norm,score,citationAuteurAnnee,etiquette,notes,rang_inclus
25,bousmah2021,"Bousmah, Ibrahim; Grenier, Gilles; Gray, David M.",,2021,"Linguistic distance, languages of work and wages of immigrants in Montreal","Journal of Labor Research, 42(1), 1-28",article,en,10.1007/s12122-020-09316-1,,13.0,Consensus/Semantic Scholar 2026-09,,,31.0,Consensus calibré (x2.41),0,31.0,2,grenier2019; oqlf2022,1,2,forward,"Consensus ; IDEAS (cite albouy2008, shapiro1997)",contexte,1,2,1,1,5,0.43924517695759147,0.9523809523809523,0.024096385542168676,0.472,"(Bousmah et al., 2021)","Linguistic distance, languages of work and wages of imm... (Bousmah et al., 2021)","Recensements 2001-2006, ENM 2011 : l'usage du français et de l'anglais au travail est rémunéré positivement à Montréal, mais l'anglais davantage ; immigrants.",
26,raynauld1966,"Raynauld, André; Marion, Gérald; Béland, Richard",,1966,La répartition des revenus selon les groupes ethniques au Canada (3 vol.),Étude préparée pour la Commission royale d'enquête sur le bilinguisme et le biculturalisme (non publiée),report,fr,,,,non indexé dans Consensus,,,31.0,imputé (médiane),1,31.0,56,beattie1971; beattie1972; beland2010; blishen1970; boulet1980; boulet1981; boulet1983; boyd1985; breton1978; carliner1981; coleman1984; cuneo1975; darroch1979; dean2022; fenwick1982; fortin2011; geloso2025; herberg1990; lacroix1981; laczko1995; lanphier1974; lautard1990; levine1990; lieberson1970; marion1972; mcroberts1976; mcroberts1979; mcroberts1988; migue1970; nakhaie1994; raynauld1974; raynauld1975; rcbb1969; sales1985; shapiro1981; shapiro1982; shapiro1987; shapiro1997; vaillancourt1978; vaillancourt1979; vaillancourt1980; vaillancourt1985; vaillancourt1988; vaillancourt1989; vaillancourt1996; vaillancourt2001; vaillancourt2005; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024; vaillancourt2024b; veltman1976; veltman1979,1,1,backward,"bibliographies rcbb1969, vaillancourt1980, vaillancourt2013 ; connaissance du texte",inclus,2,2,1,1,6,0.43924517695759147,0.2976190476190476,0.6746987951807228,0.471,"(Raynauld et al., 1966)","La répartition des revenus selon les groupes ethniques... (Raynauld et al., 1966)","Analyse du recensement de 1961 pour la Commission B-B : revenus de travail par origine ethnique et langue, décomposition par scolarité, profession, industrie ; base empirique du Livre III.",21.0
27,bourhis2017,"Bourhis, Richard Y.; Sioufi, Rana",,2017,Assessing forty years of language planning on the vitality of the francophone and anglophone communities of Quebec,"Multilingua, 36(5), 627-661",article,en,10.1515/multi-2017-3048,,,,47.0,2026-09-03,47.0,Google Scholar,0,47.0,1,bourhis2019,1,1,forward,WebSearch,inclus,2,1,1,1,5,0.4906335683861554,0.9047619047619048,0.012048192771084338,0.469,"(Bourhis et Sioufi, 2017)","Assessing forty years of language planning on the vital... (Bourhis et Sioufi, 2017)","Vitalité ethnolinguistique (démographie, statut, soutien institutionnel) des deux communautés après 40 ans d'aménagement linguistique ; indicateurs de statut économique (revenu, scolarité) des anglophones restés au Québec.",22.0
28,dean2022,"Dean, Joshua; Geloso, Vincent",,2022,"The linguistic wage gap in Quebec, 1901 to 1951",Cliometrica,article,en,10.1007/s11698-021-00236-3,,9.0,Consensus/Semantic Scholar 2026-09,18.0,2026-09-03,18.0,Google Scholar,0,18.0,4,donovan2024; gagnon2023; geloso2025; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,0,1,5,0.3731763344691098,0.9642857142857143,0.04819277108433735,0.462,"(Dean et Geloso, 2022)","The linguistic wage gap in Quebec, 1901 to 1951 (Dean et Geloso, 2022)",Recensements 1901-1921 (et 1951) : l'écart se réduit modestement au début du XXe siècle puis stagne jusqu'en 1970 ; l'essentiel de la convergence est postérieur à 1970. Situe le point de départ de 1961.,23.0
29,bourhis2012,"Bourhis, Richard Y. (dir.)",,2012,Decline and Prospects of the English-Speaking Communities of Quebec,"Ottawa : Patrimoine canadien / CIRLM, coll. Nouvelles perspectives canadiennes",book,en,,,,non indexé dans Consensus,,,31.0,imputé (médiane),1,31.0,7,bourhis2017; bourhis2019; donovan2024; floch2012; pert2023; serre2023; vaillancourt2018,1,2,backward,"bibliographies bourhis2019, bourhis2017",contexte,2,1,1,1,5,0.43924517695759147,0.8452380952380952,0.08433734939759036,0.456,"(Bourhis, 2012)","Decline and Prospects of the English-Speaking Communiti... (Bourhis, 2012)","Ouvrage collectif sur la vitalité des communautés anglophones du Québec (démographie, éducation, santé, statut socioéconomique — chap. Floch & Pocock).",
30,grenier2016,"Grenier, Gilles; Nadeau, Serge",,2016,English as the lingua franca and the economic value of other languages: The case of the language of work in the Montreal labor market,"In M. Gazzola et B.-A. Wickström (dir.), The Economics of Language Policy, Cambridge (MA) : MIT Press, 267-312",chapter,en,,,,non indexé dans Consensus,27.0,2026-09-03,27.0,Google Scholar,0,27.0,4,bousmah2021; grenier2019; oqlf2022; vaillancourt2018,1,2,forward,"bibliographies grenier2019, bousmah2021 (connaissance du texte)",inclus,2,2,1,1,6,0.42232149268742813,0.8928571428571429,0.04819277108433735,0.454,"(Grenier et Nadeau, 2016)","English as the lingua franca and the economic value of... (Grenier et Nadeau, 2016)",Recensements 2001-2006 : valeur de l'usage de l'anglais et du français au travail à Montréal par groupe linguistique ; l'anglais comme lingua franca conserve une valeur marchande supérieure malgré la francisation.,24.0
31,gagnon2023,"Gagnon, Julien; Geloso, Vincent; Isabelle, Maripier",,2023,"The incubated revolution: Education, cohort effects, and the linguistic wage gap in Quebec during the 20th century",Journal of Economic Behavior & Organization,article,en,10.1016/j.jebo.2022.12.017,,4.0,Consensus/Semantic Scholar 2026-09,12.0,2026-09-03,12.0,Google Scholar,0,12.0,4,dean2022; donovan2024; geloso2025; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,1,1,6,0.3250800597631568,0.9761904761904762,0.04819277108433735,0.45,"(Gagnon et al., 2023)","The incubated revolution: Education, cohort effects, an... (Gagnon et al., 2023)","Cohortes de naissance 1910-1970 : la fermeture de l'écart salarial 1970-2000 passe par le remplacement des générations ; modèle à deux secteurs (barrières linguistiques, mobilité du capital) ; choc = scolarité obligatoire (1943).",25.0
32,hughes1943,"Hughes, Everett C.",,1943,French Canada in Transition,"Chicago : University of Chicago Press (trad. fr. Rencontre de deux mondes, 1945)",book,en,,,,non indexé dans Consensus,567.0,2026-09-03,567.0,Google Scholar,0,567.0,42,beattie1971; beattie1972; beland2010; blishen1970; boulet1980; breton1978; coleman1984; cuneo1975; darroch1979; dean2022; dejocas1957; dofny1962; dofny1969; fenwick1982; fortin2011; geloso2025; guindon1964; helmeshayes1998; herberg1990; laczko1995; lanphier1974; lautard1990; levine1990; lieberson1970; marion1972; mcroberts1979; mcroberts1988; migue1970; nakhaie1994; nakhaie1997; pettinicchio2012; porter1965; raynauld1966; raynauld1974; rcbb1969; sales1985; taylor1961; vaillancourt1978; vaillancourt1980; vaillancourt1989; vaillancourt1996; veltman1976,1,2,backward,"bibliographies lieberson1970, rcbb1969, levine1990, fenwick1982 (connaissance du texte)",contexte,2,2,0,1,5,0.8037964585248094,0.023809523809523808,0.5060240963855421,0.445,"(Hughes, 1943)","French Canada in Transition (Hughes, 1943)","Étude classique de 'Cantonville' (Drummondville) : division ethnique du travail dans l'industrialisation du Québec ; anglophones aux postes de direction, francophones ouvriers ; point de départ de la sociologie de la stratification linguistique.",
33,vaillancourt2018,"Vaillancourt, François",,2018,Analyse économique des politiques linguistiques au Québec : 40 ans de Loi 101,"CIRANO, Cahier scientifique 2018s-16",report,fr,,https://cirano.qc.ca/files/publications/2018s-16.pdf,,non indexé dans Consensus,12.0,2026-09-03,12.0,Google Scholar,0,12.0,7,geloso2025; grenier2019; oqlf2022; vaillancourt2019; vaillancourt2020; vaillancourt2024; vaillancourt2024b,1,1,forward,WebSearch,inclus,2,2,1,1,6,0.3250800597631568,0.9166666666666666,0.08433734939759036,0.442,"(Vaillancourt, 2018)","Analyse économique des politiques linguistiques au Québ... (Vaillancourt, 2018)","Bilan économique de 40 ans de Loi 101 : revenus de travail par attribut linguistique 1970-2015, propriété des entreprises 1961-2003, langue de travail ; coûts et bénéfices des politiques.",26.0
34,vaillancourt1988,"Vaillancourt, François",,1988,"Langue et disparités de statut économique au Québec, 1970 et 1980","Québec : Conseil de la langue française, coll. Dossiers no 28",report,fr,,,,non indexé dans Consensus,44.0,2026-09-03,44.0,Google Scholar,0,44.0,23,albouy2008; beland2010; bloom1992; christofides1998; floch2012; gagnon2023; grenier2016; grenier2019; laczko1995; levine1990; mcroberts1988; nadeau2010; shapiro1997; vaillancourt1989; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies nadeau2010 (IDEAS), vaillancourt2013, gagnon2023",inclus,2,2,1,1,6,0.48245399702448494,0.5595238095238095,0.27710843373493976,0.44,"(Vaillancourt, 1988)","Langue et disparités de statut économique au Québec, 19... (Vaillancourt, 1988)",Recensements 1971 et 1981 : revenus de travail et rendement net des attributs linguistiques (hommes et femmes) ; réduction de l'avantage anglophone entre 1970 et 1980 ; premier volet de la série CLF.,27.0
35,blishen1967,"Blishen, Bernard R.",,1967,A socio-economic index for occupations in Canada,"Canadian Review of Sociology and Anthropology, 4(1), 41-53",article,en,10.1111/j.1755-618x.1967.tb00473.x,,81.0,Consensus/Semantic Scholar 2026-09,,,195.0,Consensus calibré (x2.41),0,195.0,28,beattie1971; beattie1972; beland1982; beland1987; blishen1970; blishen1987; boulet1981; boyd1985; cuneo1975; darroch1979; dofny1969; fenwick1982; helmeshayes1998; herberg1990; laczko1995; lanphier1974; lautard1990; lian1998; lieberson1970; mcroberts1976; nakhaie1994; nakhaie1997; ogmundson1992; ram1980; sales1985; vaillancourt1980; wanner1999; wanner2005,1,3,forward,citant blishen1958 (Consensus),contexte,0,2,1,0,3,0.6689449145918196,0.30952380952380953,0.3373493975903614,0.439,"(Blishen, 1967)","A socio-economic index for occupations in Canada (Blishen, 1967)","Indice socioéconomique des professions (recensement 1961) utilisé par les études de statut francophones/anglophones (McRoberts et al. 1976, Boyd et al. 1985, Béland 1987).",
36,lian1998,"Lian, Jason Z.; Matthews, David Ralph",,1998,"Does the vertical mosaic still exist? Ethnicity and income in Canada, 1991","Canadian Review of Sociology and Anthropology, 35(4), 461-481",article,en,10.1111/j.1755-618x.1998.tb00732.x,,48.0,Consensus/Semantic Scholar 2026-09,,,115.0,Consensus calibré (x2.41),0,115.0,3,pendakur2002; wanner1999; wanner2005,1,2,forward,Consensus,contexte,1,2,1,1,5,0.602467015155322,0.6785714285714286,0.03614457831325301,0.439,"(Lian et Matthews, 1998)","Does the vertical mosaic still exist? Ethnicity and inc... (Lian et Matthews, 1998)","Canada 1991 : à scolarité égale et autres variables contrôlées, les Canadiens d'origine française gagnent significativement plus que ceux d'origine britannique ; la race a remplacé l'ethnicité comme fondement des inégalités de revenu.",
37,nadeau2010b,"Nadeau, Serge; Seckin, Aylin",,2010,The immigrant wage gap in Canada: Quebec and the rest of Canada,"Canadian Public Policy / Analyse de politiques, 36(3), 265-285",article,en,10.3138/cpp.36.3.265,,,,,,31.0,imputé (médiane),1,31.0,3,bousmah2021; grenier2016; nadeau2010,1,2,forward,IDEAS (WebSearch) ; connaissance du texte,contexte,1,2,1,1,5,0.43924517695759147,0.8214285714285714,0.03614457831325301,0.432,"(Nadeau et Seckin, 2010)","The immigrant wage gap in Canada: Quebec and the rest o... (Nadeau et Seckin, 2010)",Écart salarial des immigrants au Québec vs reste du Canada (1970-2000) ; complément de nadeau2010 sur la structure linguistique du marché du travail québécois.,
38,vaillancourt2020,"Vaillancourt, François",,2020,La rémunération des attributs linguistiques au Québec : résultats pour 2015 et comparaison 1970-2015,"CIRANO, Rapport 2020s-52 ; version anglaise REAL Working Paper 20-8 (Ulster University)",report,fr,,https://cirano.qc.ca/files/publications/2020s-52.pdf,,non indexé dans Consensus,9.0,2026-09-03,9.0,Google Scholar,0,9.0,4,donovan2024; oqlf2022; serre2023; vaillancourt2024,1,1,forward,WebSearch,inclus,2,2,1,1,6,0.2918281787758389,0.9404761904761905,0.04819277108433735,0.427,"(Vaillancourt, 2020)","La rémunération des attributs linguistiques au Québec :... (Vaillancourt, 2020)",Recensement 2016 (revenus 2015) : effets nets des attributs linguistiques ; les anglophones bilingues et les francophones bilingues au sommet ; comparaison 1970-2015.,28.0
39,boyd1985,"Boyd, Monica; Goyder, John; Jones, Frank E.; McRoberts, Hugh A.; Pineo, Peter C.; Porter, John",,1985,Ascription and Achievement: Studies in Mobility and Status Attainment in Canada,Ottawa : Carleton University Press,book,en,,,60.0,Consensus/Semantic Scholar 2026-09 (fiche du compte rendu Contemporary Sociology 1988),101.0,2026-09-03,101.0,Google Scholar,0,101.0,14,beland1987; blishen1987; helmeshayes1998; herberg1990; laczko1995; lautard1990; lian1998; mcroberts1988; nakhaie1994; nakhaie1997; ogmundson1992; sales1985; wanner1999; wanner2005,1,1,backward,"Consensus ; cité par nakhaie1994, beland1987",inclus,2,2,1,1,6,0.5861661300141174,0.5238095238095238,0.1686746987951807,0.426,"(Boyd et al., 1985)","Ascription and Achievement: Studies in Mobility and Sta... (Boyd et al., 1985)",Statut socioprofessionnel : synthèse de la Canadian Mobility Study (1973) ; chapitres sur l'attainment du statut des francophones et des anglophones ; convergence intergénérationnelle.,29.0
40,helmeshayes1998,"Helmes-Hayes, Rick; Curtis, James (dir.)",,1998,The Vertical Mosaic Revisited,Toronto : University of Toronto Press,book,en,10.3138/9781442683051,,42.0,Consensus/Semantic Scholar 2026-09,,,101.0,Consensus calibré (x2.41),0,101.0,1,wanner2005,1,3,forward,citant porter1965 (Consensus),contexte,1,2,1,1,5,0.5861661300141174,0.6785714285714286,0.012048192771084338,0.426,"(Helmes-Hayes et Curtis, 1998)","The Vertical Mosaic Revisited (Helmes-Hayes et Curtis, 1998)","Bilan trente ans après Porter : chapitres de Clement (pouvoir, ethnicité, classe), Breton (ethnicité et race), Ornstein (élites) ; situe l'évolution de la place des Canadiens français.",
41,blishen1958,"Blishen, Bernard R.",,1958,The construction and use of an occupational class scale,"Canadian Journal of Economics and Political Science, 24(4), 519-531",article,en,10.2307/139088,,151.0,Consensus/Semantic Scholar 2026-09,336.0,2026-09-03,336.0,Google Scholar,0,336.0,28,beattie1971; beattie1972; beland1982; beland1987; blishen1967; blishen1970; blishen1987; boulet1981; boyd1985; cuneo1975; darroch1979; dofny1962; dofny1969; fenwick1982; guindon1964; helmeshayes1998; herberg1990; laczko1995; lanphier1974; lautard1990; lieberson1970; mcroberts1976; migue1970; porter1965; raynauld1966; rcbb1969; sales1985; vaillancourt1980,0,3,backward,"demande de l'usager ; cité par porter1965, dejocas1957 (réanalyses), lanphier1974, beland1987",inclus,1,2,1,0,4,0.7376336305906368,0.20238095238095238,0.3373493975903614,0.426,"(Blishen, 1958)","The construction and use of an occupational class scale (Blishen, 1958)","Outil de mesure du statut socioprofessionnel : échelle de classes professionnelles (recensement 1951) fondée sur revenu et scolarité ; application à certaines caractéristiques de la société canadienne, dont la distribution des origines britannique et française.",30.0
42,pettinicchio2012,"Pettinicchio, David",,2012,Migration and ethnic nationalism: Anglophone exit and the 'decolonisation' of Québec,"Nations and Nationalism, 18(4), 719-743",article,en,10.1111/j.1469-8129.2011.00513.x,,14.0,Consensus/Semantic Scholar 2026-09,23.0,2026-09-03,23.0,Google Scholar,0,23.0,2,bourhis2017; bourhis2019,1,1,forward,Consensus,inclus,2,2,1,1,6,0.4027845329946371,0.8452380952380952,0.024096385542168676,0.424,"(Pettinicchio, 2012)","Migration and ethnic nationalism: Anglophone exit and t... (Pettinicchio, 2012)","Le nationalisme ethnique des années 1960 démantèle la division culturelle du travail ; les politiques réduisent le rendement économique des anglophones scolarisés et augmentent celui des francophones, ce qui explique l'émigration anglophone (modèle de colonie interne, exit/voice).",31.0
43,vaillancourt2005,"Vaillancourt, François; Vaillancourt, Luc",,2005,La propriété des employeurs au Québec en 2003 selon le groupe d'appartenance linguistique,Québec : Conseil supérieur de la langue française,report,fr,,,,non indexé dans Consensus,27.0,2026-09-03,27.0,Google Scholar,0,27.0,7,fortin2011; grenier2019; vaillancourt2007; vaillancourt2013; vaillancourt2018; vaillancourt2019; vaillancourt2024b,1,2,backward,"bibliographies vaillancourt2007, vaillancourt2024b (connaissance du texte)",inclus,2,2,1,1,6,0.42232149268742813,0.7619047619047619,0.08433734939759036,0.423,"(Vaillancourt et Vaillancourt, 2005)","La propriété des employeurs au Québec en 2003 selon le... (Vaillancourt et Vaillancourt, 2005)","Contrôle de l'économie : part de l'emploi sous contrôle francophone de 47 % (1961) à 55 % (1978), 62 % (1991) et 67 % (2003).",32.0
44,grenier2019,"Grenier, Gilles",,2019,Quebec's language policy and economic globalization,"Language Problems and Language Planning, 43(2)",article,en,10.1075/lplp.00041.gre,,5.0,Consensus/Semantic Scholar 2026-09,7.0,2026-09-03,7.0,Google Scholar,0,7.0,6,bourhis2019; bousmah2021; donovan2024; vaillancourt2019; vaillancourt2020; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,1,1,6,0.26354710617455485,0.9285714285714286,0.07228915662650602,0.421,"(Grenier, 2019)","Quebec's language policy and economic globalization (Grenier, 2019)","Situation économique des groupes linguistiques depuis 1970 vue comme un marché (offre/demande) ; la position relative des francophones s'est améliorée (pouvoir d'achat, contrôle de l'économie) ; l'anglais au travail paie plus pour les immigrants.",33.0
45,migue1970,"Migué, Jean-Luc",,1970,"Le nationalisme, l'unité nationale et la théorie économique de l'information","Canadian Journal of Economics, 3(2), 183-198",article,fr,10.2307/133671,,19.0,Consensus/Semantic Scholar 2026-09,59.0,2026-09-03,59.0,Google Scholar,0,59.0,33,beland2010; boulet1980; boulet1981; boulet1983; breton1978; carliner1981; coleman1984; cuneo1975; fenwick1982; fortin2011; geloso2025; lacroix1981; laczko1995; lanphier1974; levine1990; marion1972; mcroberts1979; mcroberts1988; ram1980; raynauld1974; sales1985; shapiro1987; shapiro1997; vaillancourt1978; vaillancourt1979; vaillancourt1980; vaillancourt1985; vaillancourt1988; vaillancourt1989; vaillancourt1996; vaillancourt2018; veltman1976; veltman1979,1,2,backward,"bibliographies vaillancourt1980, vaillancourt1996, lacroix1981 ; Consensus",inclus,2,2,1,1,6,0.5189146409874393,0.34523809523809523,0.39759036144578314,0.421,"(Migué, 1970)","Le nationalisme, l'unité nationale et la théorie économ... (Migué, 1970)",Explication : sous-représentation des Canadiens français aux échelons supérieurs des entreprises expliquée par la théorie de l'information (réseaux d'information établis hors de la communauté francophone) ; marché du travail scindé en deux sous-groupes ; dispersion plus grande des salaires francophones.,34.0
46,beland2010,"Béland, Nicolas; Forgues, Éric; Beaudin, Maurice",,2010,"Inégalités salariales et bilinguisme au Québec et au Nouveau-Brunswick, 1970 à 2000",Recherches sociographiques (Érudit),article,fr,10.7202/044694ar,,3.0,Consensus/Semantic Scholar 2026-09,16.0,2026-09-03,16.0,Google Scholar,0,16.0,6,geloso2025; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,1,1,6,0.359079667802517,0.8214285714285714,0.07228915662650602,0.418,"(Béland et al., 2010)","Inégalités salariales et bilinguisme au Québec et au No... (Béland et al., 2010)","Hommes natifs, 1970-2000 : le lien historique salaire/origine linguistique disparaît graduellement au Québec de 1970 à 1995 ; en 1995, pour la première fois, les bilingues (francophones ou anglophones) sont mieux rémunérés que les unilingues ; reproduit en 2000.",35.0
47,fortin2011,"Fortin, Pierre",,2011,"La Révolution tranquille et l'économie : où étions-nous, que visions-nous, qu'avons-nous accompli ?","Dans G. Berthiaume et C. Corbo (dir.), La Révolution tranquille en héritage, Montréal : Boréal, 87-115",chapter,fr,,,,non indexé dans Consensus,17.0,2026-09-03,17.0,Google Scholar,0,17.0,4,albouy2008; dean2022; gagnon2023; geloso2025,1,2,backward,"bibliographies gagnon2023, dean2022 (connaissance du texte)",inclus,2,2,1,1,6,0.36632388903168267,0.8333333333333334,0.04819277108433735,0.416,"(Fortin, 2011)","La Révolution tranquille et l'économie : où étions-nous... (Fortin, 2011)",Bilan économique de la Révolution tranquille : rattrapage du revenu par habitant du Québec sur l'Ontario et disparition de l'écart de revenu francophones/anglophones ; rôle de la scolarisation et des politiques.,36.0
48,vaillancourt2019,"Vaillancourt, François",,2019,Assessing Bill 101 after 40 years,"Language Problems and Language Planning, 43(2) (introduction du numéro spécial)",article,en,10.1075/lplp.00037.vai,,,,8.0,2026-09-03,8.0,Google Scholar,0,8.0,3,bourhis2019; grenier2019; vaillancourt2020,1,1,forward,WebSearch,contexte,2,1,1,1,5,0.2784748536401644,0.9285714285714286,0.03614457831325301,0.414,"(Vaillancourt, 2019)","Assessing Bill 101 after 40 years (Vaillancourt, 2019)","Introduction du numéro spécial sur 40 ans de Loi 101 (Grenier 2019, Bourhis 2019, Castonguay 2019) ; cadre d'évaluation des effets économiques et démographiques.",
49,vaillancourt2001,"Vaillancourt, François; Touchette, Christine",,2001,"Le statut du français sur le marché du travail au Québec, de 1970 à 1995 : les revenus de travail","Montréal : CIRANO, Rapport de projet 2001RP-04 (pour le Conseil de la langue française)",report,fr,,,,non indexé dans Consensus,17.0,2026-09-03,17.0,Google Scholar,0,17.0,13,albouy2008; beland2010; christofides2006; christofides2010; floch2012; grenier2019; vaillancourt2005; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,2,backward,"bibliographies vaillancourt2007, vaillancourt2013 (connaissance du texte)",inclus,2,2,1,1,6,0.36632388903168267,0.7142857142857143,0.1566265060240964,0.412,"(Vaillancourt et Touchette, 2001)","Le statut du français sur le marché du travail au Québe... (Vaillancourt et Touchette, 2001)",Recensement 1996 (revenus 1995) : effets nets des attributs linguistiques comparés à 1970-1990 ; disparition de l'avantage des anglophones unilingues chez les hommes.,37.0
50,wanner1999,"Wanner, Richard A.",,1999,"Expansion and ascription: Trends in educational opportunity in Canada, 1920-1994","Canadian Review of Sociology and Anthropology, 36(3), 409-442",article,en,10.1111/j.1755-618x.1999.tb00582.x,,27.0,Consensus/Semantic Scholar 2026-09,,,65.0,Consensus calibré (x2.41),0,65.0,1,wanner2005,1,3,forward,citant porter1965/boyd1985 (Consensus),inclus,2,1,1,1,5,0.5309941929118058,0.6904761904761905,0.012048192771084338,0.411,"(Wanner, 1999)","Expansion and ascription: Trends in educational opportu... (Wanner, 1999)","Canadian Mobility Study 1973 et ESG 1986/1994 : les effets de la première langue parlée sur la scolarité, très prononcés dans les cohortes anciennes, deviennent négligeables dans les cohortes récentes, au Québec comme ailleurs ; canal éducatif de la convergence.",38.0
51,herberg1990,"Herberg, Edward N.",,1990,The ethno-racial socioeconomic hierarchy in Canada: Theory and analysis of the new vertical mosaic,"International Journal of Comparative Sociology, 31(3-4), 206-221",article,en,10.1177/002071529003100305,,31.0,Consensus/Semantic Scholar 2026-09,,,75.0,Consensus calibré (x2.41),0,75.0,8,helmeshayes1998; laczko1995; lautard1990; lian1998; nakhaie1994; nakhaie1997; ogmundson1992; wanner2005,1,3,forward,citant porter1965 (Consensus),contexte,1,2,1,1,5,0.5488744052521465,0.5833333333333334,0.0963855421686747,0.41,"(Herberg, 1990)","The ethno-racial socioeconomic hierarchy in Canada: The... (Herberg, 1990)",Recensements 1921-1986 : hiérarchie socioéconomique ethno-raciale ; la mosaïque verticale existe encore mais presque inversée par rapport à Porter (les groupes d'origine française et britannique ne dominent plus).,
52,bloom1992,"Bloom, David E.; Grenier, Gilles",,1992,"Economic perspectives on language: The relative value of bilingualism in Canada and the United States (NBER WP 3660, 1991 : The earnings of linguistic minorities: French in Canada and Spanish in the United States)","In B. R. Chiswick (dir.), Immigration, Language and Ethnicity: Canada and the United States, AEI Press ; NBER Working Paper 3660",chapter,en,10.3386/w3660,,5.0,Consensus/Semantic Scholar 2026-09 (version NBER),,,12.0,Consensus calibré (x2.41),0,12.0,24,albouy2008; beland2010; bousmah2021; christofides1998; christofides2006; christofides2010; dean2022; gagnon2023; geloso2025; grenier2016; grenier2019; laczko1995; nadeau2010; nadeau2010b; pendakur2002; shapiro1997; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies albouy2008, christofides2010 ; Consensus",inclus,2,2,1,1,6,0.3250800597631568,0.6071428571428571,0.2891566265060241,0.407,"(Bloom et Grenier, 1992)","Economic perspectives on language: The relative value o... (Bloom et Grenier, 1992)","1970-1986 : l'écart français/anglais se réduit surtout au Québec, en raison d'une forte hausse de la demande relative de travailleurs francophones ; en 1986, l'écart restant s'explique par les heures, l'âge, la scolarité, la région.",39.0
53,wanner2005,"Wanner, Richard A.",,2005,Twentieth-century trends in occupational attainment in Canada,"Canadian Journal of Sociology, 30(4), 441-469",article,en,10.1353/cjs.2006.0015,,15.0,Consensus/Semantic Scholar 2026-09,,,36.0,Consensus calibré (x2.41),0,36.0,0,,1,3,forward,citant boyd1985/porter1965 (Consensus),inclus,2,2,1,1,6,0.4576454530876017,0.7619047619047619,0.0,0.407,"(Wanner, 2005)","Twentieth-century trends in occupational attainment in... (Wanner, 2005)",CMS 1973 et ESG 1986/1994 : l'effet de la langue sur le statut professionnel décline au cours du XXe siècle pour les hommes et les femmes ; l'effet de la scolarité reste inchangé.,40.0
54,dofny1962,"Dofny, Jacques; Rioux, Marcel",,1962,Les classes sociales au Canada français,"Revue française de sociologie, 3(3), 290-300",article,fr,10.2307/3319613,,,,97.0,2026-09-03,97.0,Google Scholar,0,97.0,32,beattie1971; beattie1972; beland1987; beland2010; boyd1985; coleman1984; cuneo1975; darroch1979; dofny1969; fenwick1982; fortin2011; geloso2025; guindon1964; helmeshayes1998; herberg1990; laczko1995; lanphier1974; lautard1990; levine1990; lieberson1970; mcroberts1976; mcroberts1979; mcroberts1988; migue1970; nakhaie1994; nakhaie1997; pettinicchio2012; raynauld1966; rcbb1969; sales1985; vaillancourt1980; wanner1999,1,2,backward,"bibliographies fenwick1982, mcroberts1976, beattie1972 (connaissance du texte)",inclus,2,2,1,1,6,0.5810958792003015,0.25,0.3855421686746988,0.406,"(Dofny et Rioux, 1962)","Les classes sociales au Canada français (Dofny et Rioux, 1962)",Explication : concept de 'classe ethnique' — les Canadiens français forment une quasi-classe subordonnée dans la structure économique dominée par les anglophones ; conscience ethnique et conscience de classe.,41.0
55,laczko1995,"Laczko, Leslie S.",,1995,Pluralism and Inequality in Quebec,Toronto : University of Toronto Press,book,en,,,,non indexé dans Consensus (compte rendu CJPS 1997),41.0,2026-09-03,41.0,Google Scholar,0,41.0,8,bourhis2012; bourhis2017; floch2012; helmeshayes1998; nakhaie1997; pettinicchio2012; wanner1999; wanner2005,1,2,backward,WebSearch ; connaissance du texte,inclus,2,2,1,1,6,0.4737098841159921,0.6428571428571429,0.0963855421686747,0.404,"(Laczko, 1995)","Pluralism and Inequality in Quebec (Laczko, 1995)","Sociologie : inégalités ethnolinguistiques au Québec (revenu, profession, scolarité) des années 1960 aux années 1990 ; rapprochement francophones/anglophones et nouvelles minorités ; explications par la pluralité et la 'privation relative'.",42.0
